curie	change_type	field	disposition	related_trait	rationale
METPO:1007081	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007082	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007083	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000075	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007084	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007085	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000076	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007086	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007087	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000077	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007088	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007089	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007090	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007091	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:1007092	ADDED	entity	DUPLICATE_NO_NEW_PRIMARY	traitmech:000011	new source CURIE overlaps an existing reviewed TraitRecord; do not create a duplicate
METPO:1007093	ADDED	entity	NO_CORPUS_DEMAND_NO_PRIMARY		ontology membership alone is insufficient; no evidence-backed corpus need was supplied
METPO:2000064	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000065	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000067	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000068	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000517	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000518	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000601	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000602	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000603	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000604	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000605	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000606	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		OBJECT_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000701	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000702	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000703	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000704	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000705	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000706	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000707	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000708	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000709	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000711	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000712	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000713	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000714	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000715	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000716	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000721	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000722	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000723	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000724	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000725	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000726	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000730	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000731	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000732	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000733	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:2000734	ADDED	entity	SUPPORTING_FIELD_VOCABULARY		DATATYPE_PROPERTY may describe supporting YAML values or relations; it is not a primary trait entry
METPO:1000127	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000127	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000429	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000429	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000430	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000430	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000432	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000432	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000443	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000443	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000444	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000444	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000445	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000445	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000446	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000446	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000450	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000450	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000451	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000451	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000452	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000452	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000453	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000453	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000601	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000601	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000602	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000602	source change removes scientific typography or introduces no semantic improvement
METPO:1000603	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000603	source change removes scientific typography or introduces no semantic improvement
METPO:1000604	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000604	source change removes scientific typography or introduces no semantic improvement
METPO:1000605	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000605	source change removes scientific typography or introduces no semantic improvement
METPO:1000606	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000606	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000606	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000606	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000607	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000607	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000607	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000607	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000609	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000609	source change removes scientific typography or introduces no semantic improvement
METPO:1000610	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000610	source change removes scientific typography or introduces no semantic improvement
METPO:1000611	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000611	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000613	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000613	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000614	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000614	source change removes scientific typography or introduces no semantic improvement
METPO:1000615	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000615	source change removes scientific typography or introduces no semantic improvement
METPO:1000616	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000616	source change removes scientific typography or introduces no semantic improvement
METPO:1000617	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000617	source change removes scientific typography or introduces no semantic improvement
METPO:1000623	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000623	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000623	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000623	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000625	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000625	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000625	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000625	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000628	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000628	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000628	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000628	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000629	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000629	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000666	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000666	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000698	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000698	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000699	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000699	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000701	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000701	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000705	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000705	source change removes scientific typography or introduces no semantic improvement
METPO:1000720	CHANGED	definition	RETAIN_LOCAL_TYPOGRAPHY_OR_GRAMMAR	METPO:1000720	source change removes scientific typography or introduces no semantic improvement
METPO:1000721	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1000721	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1000721	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1000721	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1000800	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000800	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000802	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000802	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000881	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000881	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1000882	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1000882	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1001101	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1001101	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1002005	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1002005	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1002005	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1002005	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1003000	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1003000	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1003003	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1003003	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1003006	CHANGED	definition	RETAIN_CURATED_LOCAL_DEFINITION	METPO:1003006	local reviewed definition retains its evidence scope; upstream semantic rewrite is not auto-authoritative
METPO:1003006	CHANGED	parents	RETAIN_CURATED_LOCAL_HIERARCHY	METPO:1003006	changing a reviewed local hierarchy is an inference change, not a mechanical source refresh
METPO:1003021	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1003021	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:1003030	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:1003030	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:2000015	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:2000015	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
METPO:2000041	CHANGED	synonyms	RETAIN_CURATED_LOCAL_SYNONYMS	METPO:2000041	source additions are redundant, overly broad, rotated bin aliases, or typography-only changes
