category	slug	verdict	priority	graph_edges	missing_modules
environment	ph_optimum	shallow	medium	4	4
environment	ph_optimum_high	shallow	medium	4	4
environment	ph_optimum_low	shallow	medium	3	3
environment	ph_optimum_mid1	skeletal	high	3	4
environment	ph_optimum_mid2	skeletal	high	3	7
environment	ph_phenotype_with_numerical_limits	skeletal	high	4	6
environment	ph_range	skeletal	high	4	7
environment	ph_range_high	shallow	high	2	4
environment	ph_range_low	shallow	high	2	5
environment	ph_range_mid1	skeletal	high	2	5
environment	ph_range_mid2	skeletal	high	2	7
environment	ph_range_mid3	shallow	high	2	4
environment	ph_range_very_low	skeletal	high	2	5
environment	piezophilic	skeletal	high	3	7
environment	piezotolerant	shallow	medium	2	4
environment	pressure_delta	shallow	high	2	5
environment	pressure_optimum	shallow	high	2	4
environment	pressure_range	skeletal	high	2	6
environment	psychrophilic	shallow	medium	6	3
environment	psychrotolerant	shallow	medium	4	3
environment	radiotolerant	shallow	medium	3	4
environment	salinity_phenotype_with_numerical_limits	skeletal	high	4	5
environment	slightly_halophilic	shallow	medium	4	3
environment	stenohaline	shallow	medium	5	5
environment	strictly_anaerobic	adequate	medium	4	3
environment	temperature_delta	shallow	high	2	5
environment	temperature_delta_high	skeletal	high	2	4
environment	temperature_delta_low	shallow	high	2	5
environment	temperature_delta_mid1	skeletal	high	2	3
environment	temperature_delta_mid2	skeletal	high	2	7
environment	temperature_delta_very_low	skeletal	high	2	5
environment	temperature_optimum	shallow	medium	5	4
environment	temperature_optimum_high	skeletal	high	3	5
environment	temperature_optimum_low	shallow	high	3	7
environment	temperature_optimum_mid1	skeletal	high	3	4
environment	temperature_optimum_mid2	shallow	high	3	5
environment	temperature_optimum_mid3	shallow	medium	3	2
environment	temperature_optimum_mid4	shallow	high	3	4
environment	temperature_optimum_very_low	skeletal	high	3	8
environment	temperature_phenotype_with_numerical_limits	shallow	high	4	5
environment	temperature_preference	shallow	medium	6	5
environment	temperature_range	shallow	high	4	5
environment	temperature_range_high	shallow	high	2	2
environment	temperature_range_low	skeletal	high	2	5
environment	temperature_range_mid1	shallow	high	2	3
environment	temperature_range_mid2	skeletal	high	2	5
environment	temperature_range_mid3	shallow	high	2	3
environment	temperature_range_mid4	shallow	high	2	6
environment	temperature_range_very_low	skeletal	high	2	10
environment	thermophilic	shallow	high	5	4
environment	thermotolerant	shallow	medium	3	4
environment	uv_radiation_tolerant	shallow	high	3	5
environment	xerophilic	skeletal	high	2	7
environment	zinc_tolerant	shallow	high	3	5
genomics	codon_usage_bias	skeletal	high	2	7
genomics	crispr_cas_system	shallow	high	2	3
genomics	gc_content	shallow	high	8	6
genomics	gc_high	skeletal	high	2	5
genomics	gc_low	shallow	high	2	4
genomics	gc_mid1	shallow	high	2	5
genomics	gc_mid2	shallow	high	2	4
genomics	gc_skew	shallow	medium	2	5
genomics	genome_size	shallow	high	2	6
genomics	genome_streamlining	shallow	medium	2	3
genomics	genomic_island	skeletal	high	2	5
genomics	mobile_genetic_element	skeletal	high	2	6
genomics	pangenome_openness	skeletal	high	2	5
genomics	plasmid_carriage	skeletal	high	2	5
genomics	ploidy	shallow	high	2	3
genomics	prophage	skeletal	high	2	4
genomics	restriction_modification_system	shallow	high	2	4
genomics	rrna_operon_copy_number	adequate	medium	2	3
genomics	transposable_element	shallow	medium	2	4
metabolism	acetogenesis	shallow	high	6	4
metabolism	aerobic_respiration	shallow	high	6	6
metabolism	anaerobic_oxidation_of_methane	skeletal	high	2	6
metabolism	anaerobic_respiration	shallow	high	5	4
metabolism	anoxygenic_photosynthesis	shallow	high	2	3
metabolism	biopolymer_degradation	skeletal	high	2	9
metabolism	cable_bacteria_metabolism	shallow	high	9	4
metabolism	calvin_benson_bassham_cycle	skeletal	high	3	7
metabolism	carbon_fixation	skeletal	high	2	6
metabolism	cellulolysis	skeletal	high	2	7
metabolism	chitinolysis	skeletal	high	2	4
metabolism	denitrification	skeletal	high	2	5
metabolism	dicarboxylate_four_hydroxybutyrate_cycle	shallow	high	2	7
metabolism	disproportionation	shallow	medium	7	4
metabolism	dissimilatory_iron_reduction	shallow	high	2	5
metabolism	dissimilatory_manganese_reduction	shallow	high	2	5
metabolism	dissimilatory_metal_reduction	skeletal	high	2	5
metabolism	dissimilatory_nitrate_reduction_to_ammonium	shallow	high	2	5
metabolism	dissimilatory_sulfate_reduction	skeletal	high	2	6
metabolism	electron_transfer	skeletal	high	7	4
metabolism	ethanol_fermentation	skeletal	high	2	4
metabolism	fermentation	shallow	medium	5	5
metabolism	fermentative_hydrogen_production	shallow	high	2	6
metabolism	homoacetogenesis	adequate	medium	9	3
metabolism	iron_oxidation	skeletal	high	2	5
metabolism	lactic_acid_fermentation	skeletal	high	2	5
metabolism	lignin_degradation	shallow	high	2	5
metabolism	manganese_oxidation	shallow	medium	2	4
metabolism	metabolism	shallow	high	5	2
metabolism	methanogenesis	shallow	high	5	6
metabolism	mixed_acid_fermentation	skeletal	high	2	5
metabolism	nitrogen_fixation	skeletal	high	4	5
metabolism	oxidative_phosphorylation	shallow	medium	5	4
metabolism	oxygenic_photosynthesis	skeletal	high	2	5
metabolism	photosynthesis	skeletal	high	2	6
metabolism	phototrophy	skeletal	high	2	6
metabolism	propionic_acid_fermentation	skeletal	high	2	6
metabolism	proteolysis	shallow	high	2	4
metabolism	proteorhodopsin_phototrophy	skeletal	high	2	5
metabolism	reductive_tca_cycle	shallow	medium	2	4
metabolism	respiration	shallow	medium	7	5
metabolism	starch_degradation	shallow	high	2	5
metabolism	substrate_level_phosphorylation	adequate	medium	6	3
metabolism	sulfur_oxidation	skeletal	high	3	5
metabolism	syntrophy	shallow	high	6	5
metabolism	three_hydroxypropionate_bicycle	skeletal	high	2	5
metabolism	three_hydroxypropionate_four_hydroxybutyrate_cycle	skeletal	high	2	5
metabolism	wood_ljungdahl_pathway	skeletal	high	2	4
metabolism	xylan_degradation	skeletal	high	2	5
morphology	amphitrichous	skeletal	high	2	6
morphology	axially_filamented	shallow	high	6	6
morphology	bacillus_shaped	shallow	high	5	6
morphology	black_pigmented	shallow	high	5	4
morphology	branched_shaped	shallow	high	5	6
morphology	brown_pigmented	shallow	high	5	3
morphology	capsule	skeletal	high	3	4
morphology	carboxysome	skeletal	high	3	6
morphology	carotenoid_pigmentation	shallow	high	5	4
morphology	cell_length	shallow	high	5	3
morphology	cell_length_large	shallow	medium	3	3
morphology	cell_length_medium	shallow	high	3	2
morphology	cell_length_small	shallow	high	3	6
morphology	cell_length_very_small	shallow	high	3	3
morphology	cell_shape	shallow	high	6	3
morphology	cell_width	shallow	high	4	4
morphology	cell_width_large	shallow	medium	3	4
morphology	cell_width_medium	shallow	high	3	4
morphology	cell_width_small	shallow	medium	3	4
morphology	cell_width_very_small	shallow	medium	3	3
morphology	coccobacillus_shaped	shallow	medium	4	3
morphology	coccus_shaped	shallow	medium	4	3
morphology	cream_pigmented	shallow	medium	3	3
morphology	crescent_shaped	adequate	medium	4	3
morphology	curved_shaped	shallow	high	4	2
morphology	diplococcus_shaped	shallow	high	4	3
morphology	disc_shaped	shallow	high	3	4
morphology	dumbbell_shaped	skeletal	high	3	5
morphology	ellipsoidal	shallow	medium	5	5
morphology	filament_shaped	shallow	high	5	4
morphology	flagellar_arrangement	shallow	high	2	1
morphology	flagellated	shallow	medium	5	5
morphology	flask_shaped	shallow	medium	3	5
morphology	fusiform_shaped	shallow	medium	3	3
morphology	gas_vesicle	skeletal	high	2	4
morphology	gliding	shallow	medium	5	4
morphology	gram_negative	shallow	medium	5	5
morphology	gram_positive	shallow	medium	5	5
morphology	gram_stain	adequate	low	5	2
morphology	gram_variable	shallow	high	4	3
morphology	green_pigmented	shallow	high	4	4
morphology	helical_shaped	shallow	medium	4	3
morphology	heterocyst	shallow	high	3	5
morphology	intracellular_inclusion	skeletal	high	2	6
morphology	irregular_shaped	skeletal	high	3	6
morphology	lophotrichous	skeletal	high	2	6
morphology	magnetosome	skeletal	high	2	3
morphology	monotrichous	shallow	high	2	3
morphology	motile	shallow	medium	5	5
morphology	motility	shallow	high	5	5
morphology	mycelial_growth	skeletal	high	2	6
morphology	non_motile	shallow	high	3	4
morphology	non_spore_forming	shallow	medium	3	3
morphology	orange_pigmented	shallow	high	5	5
morphology	oval_shaped	shallow	high	5	4
morphology	ovoid_shaped	shallow	medium	5	5
morphology	peritrichous	skeletal	high	2	4
morphology	pigmentation	shallow	medium	4	6
morphology	pink_pigmented	shallow	medium	5	5
morphology	pleomorphic_shaped	shallow	high	3	3
morphology	polyhydroxyalkanoate_granule	skeletal	high	2	5
morphology	polyphosphate_granule	shallow	high	2	5
morphology	prosthecate	shallow	high	2	4
morphology	red_pigmented	shallow	high	4	5
morphology	ring_shaped	shallow	medium	3	4
morphology	rod_shaped	shallow	medium	5	5
morphology	s_layer	skeletal	high	2	5
morphology	sarcina_arrangement	skeletal	high	2	6
morphology	sphere_shaped	shallow	medium	4	4
morphology	spindle_shaped	shallow	medium	3	4
morphology	spiral_shaped	shallow	high	4	4
morphology	spirochete_shaped	shallow	high	4	4
morphology	spore_forming	shallow	high	5	4
morphology	spore_shaped	shallow	high	5	4
morphology	sporulation	shallow	high	7	5
morphology	square_shaped	shallow	medium	3	4
morphology	staphylococcus_arrangement	shallow	high	2	3
morphology	star_shaped	shallow	high	3	7
morphology	streptococcus_arrangement	shallow	high	2	3
morphology	sulfur_globule	shallow	medium	2	3
morphology	swarming_motility	adequate	medium	3	5
morphology	tailed_shaped	shallow	high	3	4
morphology	tetrad_arrangement	skeletal	high	2	3
morphology	triangular_shaped	shallow	medium	3	6
morphology	twitching_motility	skeletal	high	2	5
morphology	vibrio_shaped	shallow	high	4	3
morphology	white_pigmented	shallow	medium	5	3
morphology	yellow_pigmented	skeletal	high	4	5
physiology	antibiotic_resistance	skeletal	high	2	5
physiology	autotrophic	shallow	high	8	7
physiology	bioluminescence	shallow	high	3	3
physiology	carboxydotrophic	shallow	high	8	6
physiology	catalase_activity	shallow	high	5	7
physiology	chemoautolithotrophic	shallow	high	8	7
physiology	chemoautotrophic	shallow	high	9	4
physiology	chemoheterotrophic	shallow	medium	9	5
physiology	chemolithoautotrophic	shallow	medium	9	5
physiology	chemolithoheterotrophic	shallow	high	9	5
physiology	chemolithotrophic	shallow	high	7	4
physiology	chemoorganoheterotrophic	adequate	medium	10	2
physiology	chemoorganotrophic	shallow	high	7	6
physiology	chemotaxis	skeletal	high	2	7
physiology	chemotrophic	shallow	medium	8	3
physiology	copiotrophic	shallow	medium	6	5
physiology	dormancy	skeletal	high	2	6
physiology	heterotrophic	shallow	high	6	6
physiology	hydrogenotrophic	shallow	high	7	7
physiology	lithoautotrophic	skeletal	high	6	7
physiology	lithoheterotrophic	shallow	medium	9	4
physiology	lithotrophic	shallow	medium	6	6
physiology	methanotrophic	shallow	high	8	3
physiology	methylotrophic	shallow	medium	8	4
physiology	mixotrophic	shallow	high	6	5
physiology	natural_competence	shallow	high	2	5
physiology	nutrient_adaptation	shallow	high	6	6
physiology	oligotrophic	shallow	high	6	5
physiology	organoheterotrophic	shallow	medium	7	3
physiology	organotrophic	shallow	high	7	5
physiology	oxidase_activity	skeletal	high	3	4
physiology	oxidative_stress_response	shallow	high	2	6
physiology	persister_cell_formation	skeletal	high	2	6
physiology	photoautotrophic	shallow	medium	8	4
physiology	photoheterotrophic	shallow	high	7	4
physiology	photolithoautotrophic	shallow	high	8	2
physiology	photolithotrophic	shallow	medium	8	4
physiology	photoorganoheterotrophic	shallow	medium	8	4
physiology	phototrophic	shallow	high	6	6
physiology	quorum_sensing	shallow	medium	2	5
physiology	spore_germination	skeletal	high	2	5
physiology	stress_response	skeletal	high	2	6
physiology	trophic_type	adequate	medium	8	4
physiology	urease_activity	shallow	medium	4	5
physiology	viable_but_nonculturable_state	skeletal	high	2	6
upper	biological_process	shallow	high	3	4
upper	material_entity	adequate	low	3	2
upper	observation	shallow	medium	3	6
upper	phenotype	adequate	medium	4	2
upper	quality	shallow	medium	3	5
