proposed_id	label	definition	definition_source	parent	synonyms	xrefs	subset	priority	observations	traits_addressed
METPO:1007609	desiccation tolerant	An environmental tolerance in which an organism survives extreme water loss and resumes growth after rehydration (anhydrobiosis), protecting cellular macromolecules during drying.	TraitMech:data/traits/environment/desiccation_tolerant.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000010
METPO:1007610	xerophilic	An environmental growth preference in which an organism grows at low water activity (low aw), such as in desiccated, high-sugar, or high-solute substrates.	TraitMech:data/traits/environment/xerophilic.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000011
METPO:1007611	metal tolerant	An environmental tolerance in which an organism grows in the presence of elevated concentrations of toxic heavy-metal or metalloid ions, typically via efflux-based resistance determinants (RND-family CBA pumps, P-type ATPases, and cation diffusion facilitators).	TraitMech:data/traits/environment/metal_tolerant.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000012
METPO:1007612	cadmium tolerant	A metal tolerance in which an organism grows in the presence of elevated cadmium (Cd2+) concentrations, typically via cation-efflux resistance systems such as the czc determinant.	TraitMech:data/traits/environment/cadmium_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000013
METPO:1007613	zinc tolerant	A metal tolerance in which an organism grows in the presence of elevated zinc (Zn2+) concentrations, typically via cation-efflux resistance systems such as the czc determinant.	TraitMech:data/traits/environment/zinc_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000014
METPO:1007614	cobalt tolerant	A metal tolerance in which an organism grows in the presence of elevated cobalt (Co2+) concentrations, typically via cation-efflux resistance systems such as the czc and cnr determinants.	TraitMech:data/traits/environment/cobalt_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000015
METPO:1007615	mercury tolerant	A metal tolerance in which an organism grows in the presence of toxic inorganic or organic mercury compounds, typically via the mer operon, whose mercuric reductase (MerA) reduces reactive Hg(II) to volatile Hg(0).	TraitMech:data/traits/environment/mercury_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000016
METPO:1007616	arsenic tolerant	A metalloid tolerance in which an organism grows in the presence of elevated arsenic (arsenite/arsenate) concentrations, typically via the ars operon, whose ArsB pump extrudes arsenite from the cytoplasm.	TraitMech:data/traits/environment/arsenic_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000017
METPO:1007617	copper tolerant	A metal tolerance in which an organism grows in the presence of elevated copper (Cu2+/Cu+) concentrations, typically via the cue, cus, pco, and cop systems and ATPase-driven cytoplasmic copper efflux.	TraitMech:data/traits/environment/copper_tolerant.yaml	METPO:1007611			metpo_traitmech_2026_06			traitmech:000018
METPO:1007618	carbon fixation	A metabolic process in which an organism assimilates inorganic carbon (CO2 or bicarbonate) into organic compounds (autotrophy). Six distinct natural autotrophic carbon-fixation pathways are currently recognized.	TraitMech:data/traits/metabolism/carbon_fixation.yaml	METPO:1000060			metpo_traitmech_2026_06			traitmech:000019
METPO:1007619	Calvin-Benson-Bassham cycle	An autotrophic carbon-fixation pathway (the reductive pentose phosphate cycle) that fixes CO2 using ribulose-1,5-bisphosphate carboxylase/oxygenase (RuBisCO). It is the most widespread CO2-fixation pathway, used by plants, algae, cyanobacteria, and many proteobacteria.	TraitMech:data/traits/metabolism/calvin_benson_bassham_cycle.yaml	METPO:1007618	Calvin cycle		metpo_traitmech_2026_06			traitmech:000020
METPO:1007620	reductive tricarboxylic acid cycle	An autotrophic carbon-fixation pathway (reductive citric acid / Arnon-Buchanan cycle) that runs the tricarboxylic acid cycle in reverse to fix CO2. It operates in anaerobic and microaerophilic bacteria such as green sulfur bacteria (Chlorobium) and Aquificales.	TraitMech:data/traits/metabolism/reductive_tca_cycle.yaml	METPO:1007618	reductive citric acid cycle		metpo_traitmech_2026_06			traitmech:000021
METPO:1007621	Wood-Ljungdahl pathway	An autotrophic carbon-fixation pathway (the reductive acetyl-CoA pathway) in which two molecules of CO2 are reduced and combined into acetyl-CoA. It is energetically efficient and used by acetogenic bacteria, methanogenic archaea, and some sulfate-reducing bacteria.	TraitMech:data/traits/metabolism/wood_ljungdahl_pathway.yaml	METPO:1007618	reductive acetyl-CoA pathway		metpo_traitmech_2026_06			traitmech:000022
METPO:1007622	3-hydroxypropionate bicycle	An autotrophic carbon-fixation pathway in which two molecules of bicarbonate are fixed via 3-hydroxypropionate and converted to glyoxylate and pyruvate. It is characteristic of the filamentous anoxygenic phototroph Chloroflexus aurantiacus.	TraitMech:data/traits/metabolism/three_hydroxypropionate_bicycle.yaml	METPO:1007618			metpo_traitmech_2026_06			traitmech:000023
METPO:1007623	3-hydroxypropionate/4-hydroxybutyrate cycle	An autotrophic carbon-fixation pathway that fixes two molecules of bicarbonate per turn via 3-hydroxypropionate and 4-hydroxybutyrate intermediates. It operates in aerobic and microaerophilic Crenarchaeota such as Sulfolobus and Metallosphaera.	TraitMech:data/traits/metabolism/three_hydroxypropionate_four_hydroxybutyrate_cycle.yaml	METPO:1007618			metpo_traitmech_2026_06			traitmech:000024
METPO:1007624	dicarboxylate/4-hydroxybutyrate cycle	An autotrophic carbon-fixation pathway that fixes one molecule of CO2 and one of bicarbonate per turn via a dicarboxylate stage and a 4-hydroxybutyrate stage. It operates in anaerobic and microaerophilic Crenarchaeota such as Ignicoccus and Thermoproteales.	TraitMech:data/traits/metabolism/dicarboxylate_four_hydroxybutyrate_cycle.yaml	METPO:1007618			metpo_traitmech_2026_06			traitmech:000025
METPO:1007625	lactic acid fermentation	A fermentation in which sugars are converted mainly to lactate, with ATP generated by substrate-level phosphorylation. Homolactic fermentation yields ~2 lactate per glucose via glycolysis; heterolactic fermentation also yields ethanol/acetate and CO2. Characteristic of lactic acid bacteria (e.g. Lactobacillus, Lactococcus).	TraitMech:data/traits/metabolism/lactic_acid_fermentation.yaml	METPO:1002005			metpo_traitmech_2026_06			traitmech:000026
METPO:1007626	mixed-acid fermentation	A fermentation in which sugars are converted via the glycolytic pathway to a mixture of acids (lactic, acetic, formic, succinic) plus ethanol, CO2 and H2. Characteristic of enteric bacteria such as Escherichia coli.	TraitMech:data/traits/metabolism/mixed_acid_fermentation.yaml	METPO:1002005			metpo_traitmech_2026_06			traitmech:000027
METPO:1007627	ethanol fermentation	A fermentation in which pyruvate is decarboxylated to acetaldehyde (releasing CO2) and then reduced by NADH to ethanol, regenerating NAD+ for glycolysis. Characteristic of yeasts and the bacterium Zymomonas mobilis.	TraitMech:data/traits/metabolism/ethanol_fermentation.yaml	METPO:1002005			metpo_traitmech_2026_06			traitmech:000028
METPO:1007628	propionic acid fermentation	A fermentation that produces propionate (with acetate and CO2) from sugars or lactate, typically via the Wood-Werkman (methylmalonyl-CoA) pathway. Characteristic of propionibacteria (e.g. Propionibacterium freudenreichii).	TraitMech:data/traits/metabolism/propionic_acid_fermentation.yaml	METPO:1002005			metpo_traitmech_2026_06			traitmech:000029
METPO:1007629	dissimilatory nitrate reduction to ammonium	An anaerobic respiratory metabolism in which nitrate is reduced via nitrite to ammonium (rather than to N2), conserving fixed nitrogen within the ecosystem. It is favored over denitrification under nitrate-limited, high-electron-donor conditions.	TraitMech:data/traits/metabolism/dissimilatory_nitrate_reduction_to_ammonium.yaml	METPO:1000802	DNRA		metpo_traitmech_2026_06			traitmech:000030
METPO:1007630	dissimilatory iron reduction	An anaerobic respiratory metabolism in which an organism conserves energy for growth by coupling the oxidation of organic matter or hydrogen to the reduction of Fe(III) as a terminal electron acceptor. Characteristic of Geobacter and Shewanella, often via extracellular electron transfer.	TraitMech:data/traits/metabolism/dissimilatory_iron_reduction.yaml	METPO:1007638	dissimilatory Fe(III) reduction		metpo_traitmech_2026_06			traitmech:000031
METPO:1007631	manganese oxidation	A metabolism in which bacteria oxidize soluble Mn(II) to insoluble Mn(III/IV) oxides, typically catalyzed by multicopper oxidases. Characteristic of organisms such as Bacillus sp. SG-1, Leptothrix, and Pseudomonas putida.	TraitMech:data/traits/metabolism/manganese_oxidation.yaml	METPO:1000060	Mn(II) oxidation		metpo_traitmech_2026_06			traitmech:000032
METPO:1007632	anaerobic oxidation of methane	A metabolism in which methane is oxidized under anoxic conditions, classically coupled to sulfate reduction and mediated by consortia of anaerobic methanotrophic archaea (ANME) and sulfate-reducing bacteria. It is a major sink for methane in marine sediments.	TraitMech:data/traits/metabolism/anaerobic_oxidation_of_methane.yaml	METPO:1000802	AOM		metpo_traitmech_2026_06			traitmech:000033
METPO:1007633	oxygenic photosynthesis	A phototrophic metabolism that uses light energy to fix CO2, oxidizing water as the electron donor and releasing molecular oxygen. It uses two linked photosystems and chlorophyll, and is characteristic of cyanobacteria (and plant chloroplasts).	TraitMech:data/traits/metabolism/oxygenic_photosynthesis.yaml	METPO:1007637			metpo_traitmech_2026_06			traitmech:000034
METPO:1007634	anoxygenic photosynthesis	A phototrophic metabolism that uses light energy with a single photosystem and bacteriochlorophyll, using electron donors other than water (e.g. H2S, H2, Fe(II), organics) and therefore not evolving oxygen. Characteristic of purple and green sulfur bacteria, Chloroflexi, and heliobacteria.	TraitMech:data/traits/metabolism/anoxygenic_photosynthesis.yaml	METPO:1007637			metpo_traitmech_2026_06			traitmech:000035
METPO:1007635	proteorhodopsin phototrophy	A light-harvesting metabolism in which a retinal-containing membrane protein (proteorhodopsin) acts as a light-driven proton pump, generating proton motive force without chlorophyll-based reaction centers. Widespread among marine bacterioplankton.	TraitMech:data/traits/metabolism/proteorhodopsin_phototrophy.yaml	METPO:1007636			metpo_traitmech_2026_06			traitmech:000036
METPO:1007636	phototrophy	A metabolism in which an organism captures light as its energy source. It encompasses chlorophyll-based photosynthesis (with photochemical reaction centers) and retinal-based (rhodopsin) light-driven ion pumping.	TraitMech:data/traits/metabolism/phototrophy.yaml	METPO:1000060			metpo_traitmech_2026_06			traitmech:000037
METPO:1007637	photosynthesis	A phototrophic metabolism that uses light energy and chlorophyll- or bacteriochlorophyll-based photochemical reaction centers to drive electron flow, fixing CO2 and/or generating reducing power. Subdivided into oxygenic and anoxygenic photosynthesis.	TraitMech:data/traits/metabolism/photosynthesis.yaml	METPO:1007636			metpo_traitmech_2026_06			traitmech:000038
METPO:1007638	dissimilatory metal reduction	An anaerobic respiratory metabolism in which an organism conserves energy for growth by coupling the oxidation of organic matter or hydrogen to the reduction of a metal (e.g. Fe(III), Mn(IV)) as a terminal electron acceptor.	TraitMech:data/traits/metabolism/dissimilatory_metal_reduction.yaml	METPO:1000802			metpo_traitmech_2026_06			traitmech:000039
METPO:1007639	symbiosis	An ecological lifestyle in which a microorganism lives in persistent physical association with a host or partner organism. It encompasses mutualism, commensalism, and parasitism, which form an evolutionary continuum.	TraitMech:data/traits/ecology/symbiosis.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000040
METPO:1007640	mutualism	A symbiosis in which both the microorganism and its host or partner benefit from the association, often through exchange of nutrients or services.	TraitMech:data/traits/ecology/mutualism.yaml	METPO:1007639			metpo_traitmech_2026_06			traitmech:000041
METPO:1007641	commensalism	A symbiosis in which the microorganism benefits from the association (e.g. resources, shelter, transport) while the host's fitness remains essentially unaffected.	TraitMech:data/traits/ecology/commensalism.yaml	METPO:1007639			metpo_traitmech_2026_06			traitmech:000042
METPO:1007642	parasitism	A symbiosis in which the microorganism benefits at the expense of its host's fitness, deriving resources from the host while causing it harm.	TraitMech:data/traits/ecology/parasitism.yaml	METPO:1007639			metpo_traitmech_2026_06			traitmech:000043
METPO:1007643	nitrogen-fixing symbiosis	A mutualistic symbiosis in which a diazotrophic bacterium fixes atmospheric N2 for a host plant — classically rhizobia in legume root nodules — in exchange for photosynthate.	TraitMech:data/traits/ecology/nitrogen_fixing_symbiosis.yaml	METPO:1007640			metpo_traitmech_2026_06			traitmech:000044
METPO:1007644	endosymbiosis	A symbiosis in which the microorganism lives inside the cells or tissues of its host. Obligate intracellular endosymbionts (e.g. of insects) frequently undergo extreme genome reduction.	TraitMech:data/traits/ecology/endosymbiosis.yaml	METPO:1007639			metpo_traitmech_2026_06			traitmech:000045
METPO:1007645	opportunistic pathogen	A host-association lifestyle in which a normally commensal or environmental microorganism causes disease only when host defenses are compromised or it reaches a normally sterile site.	TraitMech:data/traits/ecology/opportunistic_pathogen.yaml	METPO:1004000			metpo_traitmech_2026_06			traitmech:000046
METPO:1007646	habitat association	An ecological classification of the primary environment or niche an organism inhabits (e.g. free-living vs host-associated; soil, rhizosphere, gut). Microbial taxa show biogeographic structure across such habitats.	TraitMech:data/traits/ecology/habitat_association.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000047
METPO:1007647	free-living	A habitat association in which an organism lives independently in the environment, not obligately associated with a host.	TraitMech:data/traits/ecology/free_living.yaml	METPO:1007646			metpo_traitmech_2026_06			traitmech:000048
METPO:1007648	host-associated	A habitat association in which an organism lives persistently on or in a plant or animal host (e.g. as a member of a host microbiome), spanning commensal, mutualistic, and pathogenic relationships.	TraitMech:data/traits/ecology/host_associated.yaml	METPO:1007646			metpo_traitmech_2026_06			traitmech:000049
METPO:1007649	soil-dwelling	A habitat association in which an organism's primary environment is soil, a complex and highly diverse microbial habitat central to terrestrial biogeochemical cycling.	TraitMech:data/traits/ecology/soil_dwelling.yaml	METPO:1007646			metpo_traitmech_2026_06			traitmech:000050
METPO:1007650	rhizosphere association	A habitat association in which an organism lives in the rhizosphere — the soil zone influenced by plant roots and root exudates — a hotspot of microbial activity and plant-microbe interaction.	TraitMech:data/traits/ecology/rhizosphere_association.yaml	METPO:1007646			metpo_traitmech_2026_06			traitmech:000051
METPO:1007651	gut-associated	A host association in which an organism is a persistent member of the gastrointestinal microbiota of an animal host, often contributing to host nutrition and physiology.	TraitMech:data/traits/ecology/gut_associated.yaml	METPO:1007648			metpo_traitmech_2026_06			traitmech:000052
METPO:1007652	biofilm formation	An ecological lifestyle in which cells form surface-attached, matrix-enclosed multicellular communities (biofilms) held together by extracellular polymeric substances — a widespread mode of microbial life.	TraitMech:data/traits/ecology/biofilm_formation.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000053
METPO:1007653	predatory bacterium	A trophic-ecology lifestyle in which a bacterium actively kills and consumes other bacteria for nutrients, e.g. the periplasmic predator Bdellovibrio bacteriovorus.	TraitMech:data/traits/ecology/predatory_bacterium.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000054
METPO:1007654	saprotrophy	A trophic-ecology lifestyle in which an organism feeds on dead or decaying organic matter, mineralizing it and driving carbon and nutrient cycling (decomposition).	TraitMech:data/traits/ecology/saprotrophy.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000055
METPO:1007655	flagellar arrangement	A morphology trait describing the number and spatial distribution of flagella on a cell (the flagellation pattern), e.g. monotrichous, lophotrichous, amphitrichous, or peritrichous.	TraitMech:data/traits/morphology/flagellar_arrangement.yaml	METPO:1000704			metpo_traitmech_2026_06			traitmech:000056
METPO:1007656	monotrichous	A flagellar arrangement with a single flagellum, typically located at one pole of the cell.	TraitMech:data/traits/morphology/monotrichous.yaml	METPO:1007655			metpo_traitmech_2026_06			traitmech:000057
METPO:1007657	lophotrichous	A flagellar arrangement with a tuft of multiple flagella at one pole of the cell.	TraitMech:data/traits/morphology/lophotrichous.yaml	METPO:1007655			metpo_traitmech_2026_06			traitmech:000058
METPO:1007658	amphitrichous	A flagellar arrangement with flagella (single filaments or tufts) at both poles of the cell.	TraitMech:data/traits/morphology/amphitrichous.yaml	METPO:1007655			metpo_traitmech_2026_06			traitmech:000059
METPO:1007659	peritrichous	A flagellar arrangement with flagella distributed over the entire cell surface rather than localized to the poles.	TraitMech:data/traits/morphology/peritrichous.yaml	METPO:1007655			metpo_traitmech_2026_06			traitmech:000060
METPO:1007660	twitching motility	A flagella-independent surface motility driven by the extension, attachment, and retraction of type IV pili, producing intermittent, jerky translocation of cells across moist surfaces.	TraitMech:data/traits/morphology/twitching_motility.yaml	METPO:1000702			metpo_traitmech_2026_06			traitmech:000061
METPO:1007661	swarming motility	A flagella-dependent, multicellular surface motility in which cells move rapidly and coordinately across a surface, typically accompanied by hyperflagellation and secretion of a wetting surfactant.	TraitMech:data/traits/morphology/swarming_motility.yaml	METPO:1000702			metpo_traitmech_2026_06			traitmech:000062
METPO:1007662	capsule	A morphology trait in which the cell is surrounded by a well-organized layer of polysaccharide (or rarely polypeptide) external to the cell envelope, mediating adhesion, desiccation resistance, and immune evasion.	TraitMech:data/traits/morphology/capsule.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000063
METPO:1007663	S-layer	A morphology trait in which the cell surface is coated by a crystalline, two-dimensional array of self-assembling proteinaceous (glyco)protein subunits (a surface layer), found in many bacteria and most archaea.	TraitMech:data/traits/morphology/s_layer.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000064
METPO:1007664	prosthecate	A morphology trait in which the cell bears one or more prosthecae — tubular extensions of the cell envelope (stalks) — that increase nutrient-uptake surface area or mediate attachment, as in Caulobacter.	TraitMech:data/traits/morphology/prosthecate.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000065
METPO:1007665	intracellular inclusion	A morphology trait describing a discrete intracellular body — a storage granule, gas-filled structure, or protein-bounded microcompartment/organelle — that compartmentalizes material or function within a prokaryotic cell.	TraitMech:data/traits/morphology/intracellular_inclusion.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000066
METPO:1007666	polyhydroxyalkanoate granule	An intracellular storage inclusion composed of polyhydroxyalkanoate (e.g. polyhydroxybutyrate, PHB), a carbon and energy reserve accumulated as cytoplasmic granules.	TraitMech:data/traits/morphology/polyhydroxyalkanoate_granule.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000067
METPO:1007667	polyphosphate granule	An intracellular storage inclusion of inorganic polyphosphate (a polymer of many phosphate residues), historically called a volutin or metachromatic granule, serving as a phosphate and energy reserve.	TraitMech:data/traits/morphology/polyphosphate_granule.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000068
METPO:1007668	sulfur globule	An intracellular (or periplasmic) inclusion of elemental sulfur formed as an intermediate during the oxidation of reduced sulfur compounds, characteristic of many sulfur-oxidizing and phototrophic sulfur bacteria.	TraitMech:data/traits/morphology/sulfur_globule.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000069
METPO:1007669	gas vesicle	An intracellular gas-filled proteinaceous inclusion that provides buoyancy, allowing planktonic bacteria and archaea to position themselves in the water column.	TraitMech:data/traits/morphology/gas_vesicle.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000070
METPO:1007670	magnetosome	A membrane-bounded intracellular organelle containing a magnetic iron-mineral crystal (magnetite or greigite); chains of magnetosomes allow magnetotactic bacteria to align with and navigate along geomagnetic field lines.	TraitMech:data/traits/morphology/magnetosome.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000071
METPO:1007671	carboxysome	A bacterial microcompartment — a polyhedral protein-shelled organelle that encapsulates RuBisCO and carbonic anhydrase to concentrate CO2 for carbon fixation in cyanobacteria and many chemoautotrophs.	TraitMech:data/traits/morphology/carboxysome.yaml	METPO:1007665			metpo_traitmech_2026_06			traitmech:000072
METPO:1007672	heterocyst	A morphology trait in which a filamentous cyanobacterium differentiates specialized, thick-walled cells (heterocysts) that create a microoxic interior for oxygen-sensitive nitrogen fixation.	TraitMech:data/traits/morphology/heterocyst.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000073
METPO:1007673	mycelial growth	A morphology trait in which a bacterium grows as branching, filamentous hyphae that form a mycelium, often with subsequent differentiation into aerial hyphae and spores, as in Streptomyces.	TraitMech:data/traits/morphology/mycelial_growth.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000074
METPO:1007674	catalase activity	A physiological enzyme-activity phenotype in which a cell produces catalase, which decomposes hydrogen peroxide into water and oxygen; it is the basis of the diagnostic catalase test.	TraitMech:data/traits/physiology/catalase_activity.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000075
METPO:1007675	oxidase activity	A physiological enzyme-activity phenotype in which a cell produces a terminal respiratory oxidase (notably cytochrome c oxidase); it is the basis of the diagnostic oxidase test.	TraitMech:data/traits/physiology/oxidase_activity.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000076
METPO:1007676	urease activity	A physiological enzyme-activity phenotype in which a cell produces urease, which hydrolyzes urea to ammonia and carbon dioxide, typically raising local pH; it is the basis of the diagnostic urease test.	TraitMech:data/traits/physiology/urease_activity.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000077
METPO:1007677	stress response	A physiological program by which a cell senses and mounts a protective response to environmental or cellular stress, such as the RpoS-mediated general stress response of enteric bacteria.	TraitMech:data/traits/physiology/stress_response.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000078
METPO:1007678	oxidative stress response	A stress response that defends the cell against reactive oxygen species (e.g. superoxide and hydrogen peroxide) through detoxifying enzymes, regulators, and damage-repair systems.	TraitMech:data/traits/physiology/oxidative_stress_response.yaml	METPO:1007677			metpo_traitmech_2026_06			traitmech:000079
METPO:1007679	dormancy	A reversible physiological state of greatly reduced metabolic activity that allows a cell to survive unfavorable conditions and later resuscitate, generating a microbial seed bank.	TraitMech:data/traits/physiology/dormancy.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000080
METPO:1007680	viable but nonculturable state	A dormancy state in which cells remain viable and minimally metabolically active but lose the ability to grow on routine culture media, regaining culturability upon resuscitation.	TraitMech:data/traits/physiology/viable_but_nonculturable_state.yaml	METPO:1007679			metpo_traitmech_2026_06			traitmech:000081
METPO:1007681	persister cell formation	Formation of dormant phenotypic variants (persister cells) that are transiently tolerant to antibiotics and other lethal stresses without carrying genetic resistance, arising stochastically in a population.	TraitMech:data/traits/physiology/persister_cell_formation.yaml	METPO:1007679			metpo_traitmech_2026_06			traitmech:000082
METPO:1007682	spore germination	The physiological process by which a dormant spore exits dormancy and resumes vegetative growth in response to germinant signals, including release of dipicolinic acid and rehydration of the spore core.	TraitMech:data/traits/physiology/spore_germination.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000083
METPO:1007683	quorum sensing	A cell-density-dependent regulatory physiology in which cells produce, release, and detect diffusible autoinducer signals to coordinate gene expression across a population.	TraitMech:data/traits/physiology/quorum_sensing.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000084
METPO:1007684	bioluminescence	A physiological capability to emit visible light through a luciferase-catalyzed reaction, frequently regulated by quorum sensing in marine bacteria such as Aliivibrio and Photobacterium.	TraitMech:data/traits/physiology/bioluminescence.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000085
METPO:1007685	chemotaxis	A behavioral physiology in which cells bias their movement toward attractants or away from repellents by modulating flagellar motor switching in response to chemical gradients.	TraitMech:data/traits/physiology/chemotaxis.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000086
METPO:1007686	natural competence	A physiological state in which a cell takes up free extracellular DNA from the environment and integrates it into its genome (natural genetic transformation).	TraitMech:data/traits/physiology/natural_competence.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000087
METPO:1007687	antibiotic resistance	A physiological capacity to grow in the presence of antibiotic concentrations that inhibit susceptible cells, mediated by efflux, target modification, drug inactivation, or reduced permeability.	TraitMech:data/traits/physiology/antibiotic_resistance.yaml	METPO:1000059			metpo_traitmech_2026_06			traitmech:000088
METPO:1007688	mobile genetic element	A genomics trait describing possession of DNA segments that can move within or between genomes and mediate horizontal gene transfer, including plasmids, prophages, transposable elements, and genomic islands.	TraitMech:data/traits/genomics/mobile_genetic_element.yaml	METPO:1000188			metpo_traitmech_2026_06			traitmech:000089
METPO:1007689	plasmid carriage	A genomics trait describing possession of one or more plasmids — extrachromosomal, typically circular DNA replicons that carry accessory genes such as resistance, virulence, or metabolic functions and can transfer by conjugation.	TraitMech:data/traits/genomics/plasmid_carriage.yaml	METPO:1007688			metpo_traitmech_2026_06			traitmech:000090
METPO:1007690	prophage	A genomics trait describing possession of an integrated (or extrachromosomal) temperate bacteriophage genome (a prophage) maintained in the host during lysogeny, often contributing genes that alter host phenotype.	TraitMech:data/traits/genomics/prophage.yaml	METPO:1007688			metpo_traitmech_2026_06			traitmech:000091
METPO:1007691	transposable element	A genomics trait describing possession of transposable elements — such as insertion sequences and transposons — that move within the genome and drive genome rearrangement, gene inactivation, and plasticity.	TraitMech:data/traits/genomics/transposable_element.yaml	METPO:1007688			metpo_traitmech_2026_06			traitmech:000092
METPO:1007692	genomic island	A genomics trait describing possession of a genomic island — a horizontally acquired chromosomal region (e.g. a pathogenicity, symbiosis, or metabolic island) that often retains mobility signatures such as flanking repeats and atypical nucleotide composition.	TraitMech:data/traits/genomics/genomic_island.yaml	METPO:1007688			metpo_traitmech_2026_06			traitmech:000093
METPO:1007693	CRISPR-Cas system	A genomics trait describing possession of a CRISPR-Cas adaptive immune system that records fragments of invading nucleic acids in CRISPR arrays and uses Cas proteins to recognize and cleave matching sequences.	TraitMech:data/traits/genomics/crispr_cas_system.yaml	METPO:1000188			metpo_traitmech_2026_06			traitmech:000094
